 Code,District,Municipality/Rural Municipality,Ward,Water Supply System (WSS) Name,WSS Type,Latitude,Longitude,Elevation,Construction Year,Construction Agency,Supporting Agency,Source Type,Source Registration,Source Registered year,Source Lat,Source Lon,Source Elv,Source Intake Type,Source Intake Condition,Source Present Water Use,Source Measured Discharge (lps),Source Measured Date,Source Minimum Yield (lps),Source Water Quality,Source Flow Regularity,Source Protection,Source Treatment Facilities,WSUC Fiscal Year,WSUC Community Name,WSUC Community Formation Date,WSUC Address,WSUC Phone No,WSUC Added Date,WSUC WUA Structure,WSUC Meeting,WSUC Annual General Meeting,WSUC Account Keeping,WSUC Standard Operating Procedure (SOP),WSUC Book keeping or Auditing System,WSUC Provision of Remuneration for VMW,WSUC Provision of Water Supply System Insurance,WSUC VMW Details,WSUC Economic Aspect,WSUC Banking information,WSUC Water Sources,WSUC Usage of Water in Income Generating Activities
61005023,Surkhet,Bheriganga,5,Chamere Water Supply System,Gravity Pipe System,28.4023701,81.7202706,760,2042,LOCAL,LOCAL,Spring,Source registered & no obstruction,2042,28.4023514,81.7202475,762.2,Spring Intake,Good,Water Supply,1,2018-06-13,1,Appropriate treatment facility exists and working,Whole year,Safe in all respect,None,2074/75,Chamere Water Supply System,,,,2018-06-18,No Data,No Data,Yes ( ),Yes,No,No,No,No,No Data,1 No,No,No Data,More than 50%
61005025,Surkhet,Bheriganga,4,Hathisude Water Supply System,Electricity Lifting,28.4538832,81.7222966,562.6,2073,Dept of Water Supply and Sewrage (DWSS),Dept of Water Supply and Sewrage (DWSS),Goundwater,Source registered & no obstruction,2073,28.4577753,81.7155538,507.6,Tubewell,Good,Water Supply,2,2018-06-10,2,Appropriate treatment facility exists and working,Whole year,Safe in all respect,None,2074/75,Hathisude Water Supply System,,Hathisude,,2018-06-18,1 Member,No Data,Yes ( 2075 ),Yes,No,No,No,No,No Data,1 No,No,No Data,30%-50%
61005008,Surkhet,Bheriganga,3,Abbal Parajul Water Supply System,Gravity Pipe System,28.4343384,81.6743107,628.5,2048,LOCAL,VDC,Spring,Source registered & no obstruction,2048,28.4343394,81.6743042,627.8,Spring Intake,Good,Water Supply,0,2018-06-17,0,Appropriate treatment facility exists and working,Whole year,Safe in all respect,None,2074/75,Abbal Parajul Water Supply System,,,,2018-06-18,No Data,No Data,Yes (  ),Yes,No,No,No,No,No Data,1 No,No,No Data,More than 50%
61005002,Surkhet,Bheriganga,1,Aainselugaira Water Supply System,Gravity Pipe System,28.4776725,81.6559838,714.6,2045,LOCAL,VDC,Spring,Source registered & no obstruction,2045,28.47762,81.6559733,714.1,Spring Intake,Good,Water Supply,0.5,2018-06-16,0.5,Appropriate treatment facility exists and working,Whole year,Safe in all respect,None,2074/75,Aainselugaira Water Supply System,,dhungi,,2018-06-18,1 Member,No Data,Yes ( 2071 ),Yes,No,No,No,No,No Data,1 No,No,No Data,30%-50%
61005027,Surkhet,Bheriganga,11,GamarKhola Water Supply System,Gravity Pipe System,28.5222409,81.7914406,1076.9,2039,Dept of Water Supply and Sewrage (DWSS),Dept of Water Supply and Sewrage (DWSS),Spring,Source registered & no obstruction,2039,28.5222756,81.7914414,1075.4,Spring Intake,Good,Water Supply,0.4,2018-06-10,0.1,Turbid/dirty in rainly season/Minor treatment needed,Whole year,Safe in all respect,None,2074/75,GamarKhola Water Supply System,,,9848163860,2018-06-18,No Data,No Data,Yes (  ),Yes,No,No,No,No,No Data,1 No,No,No Data,Less than 10%
61005030,Surkhet,Bheriganga,6,Gharikot Water Supply System,Gravity Pipe System,28.4219929,81.7555147,638.1,Unknown,Unknowm,None,Spring,Source registered & no obstruction,2065,28.4219745,81.7555001,644.5,Spring Intake,Reconstruction,Water Supply,0.5,2018-06-04,0.5,Turbid/dirty in rainly season/Minor treatment needed,Whole year,Vulnerable,None,2074/75,Gharikot Water Supply System,,,9868187030,2018-06-18,No Data,No Data,Yes (  ),Yes,No,No,No,No,No Data,2 No,No,1 Sources,10%-30%
61005004,Surkhet,Bheriganga,2,Jana Jyoti Water Supply System,Gravity Pipe System,28.4628151,81.6401186,841.7,2052,LOCAL,LOCAL,Spring,"Source not registered, in public land & obstructed by local community",2052,28.4628092,81.6401191,841.6,Spring Intake,Good,Water Supply,0.5,2018-06-16,0.5,Turbid/dirty in rainly season/Minor treatment needed,Whole year,Safe in all respect,None,2074/75,Jana Jyoti Water Supply System,,,,2018-06-18,No Data,No Data,Yes (  ),Yes,No,No,No,No,No Data,1 No,No,No Data,More than 50%
61005019,Surkhet,Bheriganga,10,Jhilmile Water Supply System,Ground Water System,28.4385127,81.7351675,541.5,2075,DWSS,DWSS,Goundwater,"Source not registered, in public land & obstructed by local community",2075,28.4385127,81.7351675,541.5,Tubewell,Reconstruction,Water Supply,0.9,2018-06-14,0.5,Turbid/dirty in rainly season/Minor treatment needed,Whole year,Safe in all respect,None,2074/75,Jhilmile Water Supply System,2074,jhilmile Bheriganga surkhet,9864709624,2018-06-18,3 Member,1 No.,Yes ( 2075.1.21 ),Yes,Yes,No,No,No,No Data,1 No,No,1 Sources,30%-50%
61005010,Surkhet,Bheriganga,3,Dhungi Khola Water Supply System,Gravity Pipe System,28.4412596,81.6882399,570.7,0,LOCAL,VDC,Spring,Source registered & no obstruction,2046,28.4412596,81.6882399,570.7,Spring Intake,Good,Water Supply,0,2018-06-17,0,Appropriate treatment facility exists and working,< 11 months,Safe in all respect,None,2074/75,Dhungi Khola Water Supply System,,dhungi,,2018-06-18,1 Member,No Data,Yes (  ),Yes,No,No,No,No,No Data,1 No,No,No Data,30%-50%
61005031,Surkhet,Bheriganga,9,Thulojatri Water Supply System,Electricity Lifting,28.4456671,81.8014295,423.1,0,LOCAL,LOCAL,Goundwater,Source registered & no obstruction,2072,28.450894,81.7960903,425.5,Tubewell,Good,Water Supply,1,2018-06-04,1,Clean round the year/treatment may or may not needed,Whole year,Safe in all respect,None,2074/75,Thulojatri Water Supply System,2072,"Thulojatri , bheriganga municipality -9",9858056390,2018-06-05,3 Member,No Data,Yes (  ),Yes,No,No,No,No,No Data,2 No,No,1 Sources,30%-50%
