Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Shashemene,Bura,Bura,7.260344141,38.48864077,Primary(1-8),644,368,New Scheme,Pipeline Connection,Basic,2006,Functional,,Simple Pit Latrine,Limited,No,644,368,No,"Clean, Used",No Service,Yes,No,No,No,No,No
Shashemene,Bura,B/Sheshera,7.226484876,38.48695793,Primary(1-8),215,173,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,215,173,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,T/Kombolcha,Tatesa,7.247196982,38.43917944,Primary(1-8),558,249,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,558,249,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,M/Dema,M/Bolo,7.214556471,38.57791966,Primary(1-8),186,176,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,186,176,No,Dirty But Used,No Service,Yes,No,No,No,No,Yes
Shashemene,Toga,Toga,7.16492591,38.52525529,Primary(1-8),351,254,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,351,254,Yes,Dirty But Used,No Service,No,No,No,No,Yes,No
Shashemene,B/Deneba,B/Deneba,7.280533737,38.58603859,Primary(1-8),486,404,Repair,Pipeline Connection,Basic,2004,Non Functional - Mechanical,,Simple Pit Latrine,Limited,Yes,486,404,No,Dirty But Used,No Service,Yes,No,No,No,No,Yes
Shashemene,k/Birojota,k/Birojota,7.164953066,38.52527337,Primary(1-8),323,239,,No Water Scheme,No Service,,,,No Latrine,No Service,No,323,239,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,H/Shumba,H/Shumba,7.269705606,38.62714864,Primary(1-8),566,513,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,566,513,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Daleti,Daleti,7.166765587,38.47832153,Primary(1-8),422,311,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,422,311,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ebicha,Ebicha,7.149254431,38.62877768,Primary(1-8),660,365,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,660,365,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Rogicha,K/Rogicha,7.276356523,38.5321869,Primary(1-8),476,385,Repair,Pipeline Connection,Basic,2004,Non Functional - Mechanical,,Simple Pit Latrine,Limited,Yes,476,385,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ch/Guta,Ch/Guta,7.301294433,38.54929243,Primary(1-8),348,264,New Scheme,Pipeline Connection,Basic,2004,Functional,,Simple Pit Latrine,Limited,Yes,348,264,No,"Clean, Used",No Service,Yes,No,No,No,No,No
Shashemene,H/Shumba,Aleche,7.15508887,38.58626128,Primary(1-4),220,222,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,220,222,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ebicha,E/Katime,7.154989506,38.58641533,Primary(1-4),307,265,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,307,265,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Abaro,Abaro,7.122074651,38.66793959,Primary(1-8),665,554,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,665,554,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,M/Dema,Meja,7.214565517,38.57791965,Primary(1-8),984,849,New Scheme,Pipeline Connection,Basic,2006,Functional,,Simple Pit Latrine,Limited,Yes,984,849,No,"Clean, Used",No Service,Yes,No,No,No,No,Yes
Shashemene,O/Chefo,U/keca,7.230371409,38.54364747,Primary(1-8),466,410,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,466,410,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,O/Chefo,Chefo,7.216151695,38.53464929,Primary(1-4),250,234,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,250,234,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ch/Guta,M/Bushe,7.301475236,38.54918353,Primary(1-4),122,112,,No Water Scheme,No Service,,,,No Latrine,No Service,No,122,112,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,Ch/Hebera,Ch/Hebera,7.310346603,38.52918913,Primary(1-8),512,337,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,512,337,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ch/D/Nyata,Ch/Sheshera,7.310437011,38.52914373,Primary(1-8),202,169,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,202,169,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,A/Ilu,Ilu,7.23294739,38.59921636,Primary(1-8),401,356,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,401,356,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,J/Wandere,Wandere,7.233046233,38.70498877,Primary(1-8),439,377,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,439,377,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Idola,k/Gara,7.136083838,38.64018107,Primary(1-8),340,286,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,340,286,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Idola,I/Burqa,7.171815267,38.62979193,Primary(1-4),210,165,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,210,165,No,Dirty But Used,No Service,Yes,No,No,No,No,Yes
Shashemene,A/Denku,Awasho,7.196674195,38.63142933,Primary(1-8),394,342,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,394,342,No,Dirty But Used,No Service,Yes,No,No,No,No,Yes
