Identifier,District,Municipality,Ward Number,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
pp8s-1wgm-a374,Surkhet,Barahtal,1,Shree Nepal Rastiya Aadharbhut Bidhyalay Shreechor,28.56098367,81.49306094,Secondary,76,85,161,9,No service,No-school does not have access to an improved water source,,,,Basic,Yes,Toilet that flush/poor flush to septic tank,1,1,No,,Good and well-raised wall with roof and door,Medium - some minor cracks,,,No service,No,No,No,,
wagq-302q-nv5d,Surkhet,Barahtal,10,Shri Nepal Rashtriya Aadharbhut School,28.68282833,81.556515,Secondary,66,67,133,8,Limited,Yes-school shares with a community improved water source,Piped water into dwelling (into the building),,,Basic,Yes,Pit latrine with slab,1,2,Yes,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
fkdw-5fnh-v7cf,Surkhet,Bheriganga,6,Shree Himalaya Primary School,28.42228574,81.79269841,Primary,75,97,172,5,Basic,Yes-school shares with a community improved water source,Piped water into dwelling (into the building),,,Limited,Yes,Pit latrine with slab,,,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No service,No,No,No,,
q65x-8n1s-52ee,Surkhet,Bheriganga,6,Janjyoti Secondary School,28.4194625,81.79703252,Higher secondary,406,610,1016,22,Basic,Yes-school shares with a community improved water source,Deep tubewell/borehole,,,Basic,Yes,Pit latrine with slab,4,3,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,No service,No,No,No,,
6fjb-rsb7-hrtx,Banke,Kohalpur,7,Shree Nepal Rastriya Aadharbhut School,28.13870686,81.68147348,Secondary,154,159,313,14,Basic,Yes-school shares with a community improved water source,Shallow tubewell/borehole,,,Limited,Yes,Toilet that flush/poor flush to septic tank,2,2,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
vhse-5ge4-vg23,Banke,Kohalpur,8,Sarawati Secondary School,28.16080167,81.68442833,Secondary,313,414,727,19,Basic,Yes-school shares with a community improved water source,Shallow tubewell/borehole,,,Basic,Yes,Toilet that flush/poor flush to septic tank,3,2,Yes,,"Medium - walls are decent, semi permanent door and roof",Bad - dangerous to stand on,,,Basic,Yes,Yes,Yes,,
x42m-k2he-bf64,Banke,Kohalpur,5,Sidhartha Secondary School,28.19127826,81.67052094,Secondary,138,180,318,16,Basic,Yes-school shares with a community improved water source,Shallow tubewell/borehole,,,Limited,Yes,Toilet that flush/poor flush to septic tank,3,3,Yes,,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
y5gd-hbvv-f7tr,Banke,Kohalpur,14,Shree Ram Madhaymik Vidhyalay  Hawaldarpur,28.15238439,81.66736529,Secondary,447,539,986,24,Basic,Yes-school shares with a community improved water source,Deep tubewell/borehole,,,Basic,Yes,Toilet that flush/poor flush to septic tank,5,4,No,,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Limited,Yes,Yes,No,,
37dd-cdbx-xpae,Banke,Kohalpur,6,Divya Vidya Sadan,28.18179667,81.67623333,Higher secondary,250,160,410,25,Basic,Yes-school shares with a community improved water source,Shallow tubewell/borehole,,,Basic,Yes,Toilet that flush/poor flush to septic tank,4,4,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
dwm9-cfn6-1cjh,Banke,Baijanath,8,Shree Jansahyogi Prathmik Vidhalaya,28.19540755,81.559241,Primary,82,91,173,11,Basic,Yes-school shares with a community improved water source,Shallow tubewell/borehole,,,Basic,Yes,Toilet that flush/poor flush to septic tank,2,2,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
