Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
vsd2-gqn1-pq57,01-01-2015 05:14:41 UTC,Tangi aboko lacen,Agago,Agengo,Lutome,Aboko Lacen,2.78401578,33.2304732,6913,2014,Government,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,no technical problem seen,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,there are worms that comes when pump hard,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,5,4,1,Unknown,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,75,Yes
vsd2-gqn1-pq57,02-01-2015 07:43:55 UTC,Tangi aboko lacen,Agago,Agengo,Lutome,Aboko Lacen,2.78401578,33.2304732,6913,2014,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,fair,Good,Good,,,,,,,,,,,,no any observations,NONE,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,there are small worms that comes out but the water sample was taken for testing by the district,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,5,1,Unknown,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
0vdp-mwey-fd7g,01-01-2015 05:39:32 UTC,Tangi bara abili,Agago,Agengo,Lutome,Bar Abili,2.77772998,33.2370754,38771,2012,Private,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,fair,Good,Good,,,,,,,,,,,,no technical problem seen,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,the quality of the water is good,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,2,3,0,Unknown,No,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,100,,,95,Yes
vsxd-0hrv-cpev,01-01-2015 06:10:09 UTC,Tangi amenyi,Agago,Agengo,Lutome,Amenyi,2.79591731,33.2298034,,2009,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Fair (moderate),,,very poor,Poor,Poor,,,,,,,,,,,,no technical problem observed,Pumphead,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,no problem with the quality,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,9,7,2,Unknown,No,Yes,Yes,No,Less than 3 months ago,,Yes,Yes,,Fixed tariff per month,,1000,,,50,Yes
y83u-182y-x59k,01-01-2015 06:38:27 UTC,Agweng primary school,Agago,Agengo,Lutome,Agweng,2.81168212,33.2350584,,2010,Government,,Drinking water,,Never,No,Rain water harvesting tank,,,,200000,,,,,,,,,Non-functional,,taps are broken down and the connecting pipe to the gutter is also spoiled,more than one year,More than 3 weeks total,,,,,,,very poor,,,,,,2,200000,none,0,Very poor,No filtration system exists,,Fair (moderate),gutter and the taps,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
hr2w-d58c-h6w8,01-01-2015 06:48:55 UTC,Agweng P/S,Agago,Agengo,Lutome,Agweng,2.81213603,33.2345187,25654,2007,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Good,Good,,,soakpit very poor,Poor,Good,,,,,,,,,,,,the pumphead requires change,Pumphead,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,no problem with the quality of the water,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,Unknown,9,0,4,1,Unknown,,,Yes,No,Unknown,,No,No,,,,,,,,
8qdc-whjp-kwkq,01-01-2015 07:06:49 UTC,Agweng,Agago,Agengo,Lutome,Agweng,2.81968304,33.2360152,48772,2014,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Good,Good,,,poor,Good,Good,,,,,,,,,,,,no technical problem observed.,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,the water quality is ok,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,6,5,3,2,Unknown,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,1000,,,90,Yes
e3c3-meqb-qump,01-01-2015 07:30:46 UTC,Oyenyo,Agago,Agengo,Tori,Oyenyo,2.82935902,33.2247907,55956,2005,NGO,25-50,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,18,2,Handpump,,PVC,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Excellent,Excellent,,,very good,Excellent,Excellent,,,,,,,,,,,,no problem the borehole is in perfect condition,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,the water quality is ok,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,10,10,5,2,Unknown,No,Yes,Yes,No,Less than 3 months ago,,No,Yes,,Fixed tariff per month,,1000,,,100,Yes
w6d6-0ku8-327v,01-01-2015 07:44:38 UTC,Tangi tee muyembe,Agago,Agengo,Tori,Oyenyo,2.83101702,33.2139688,,2009,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Very poor,Good,,,poor,Good,Good,,,,,,,,,,,,no technical problem observed,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,the water quality is ok,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,5,2,No,,,Yes,No,Never,,No,No,,,,,,,,
e4ru-avrh-htjt,02-01-2015 05:06:36 UTC,Gemodwong tee tugu,Agago,Lira Palwo,Lapeta,Gemo Dwong,2.78723356,33.1903729,31001,2009,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,,the chain is broken,1 to 5 days,More than 3 weeks total,,,Fair (moderate),Good,,,poor,Fair (moderate),Poor,,,,,,,,,,,,the handle is about to break,Handle,,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,6,3,0,No,,,Yes,No,,,No,,,,,,,,,
