Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
d2mx-edn4-m7d6,Shashemene,Bura,Bura,443551,802561,41.72463779,4.008327211,Primary(1-8),644,368,Advanced,Piped water supply,Yes,Advanced,Flush/Pour-flush toilets,,Yes,Advanced,Yes,"Yes, water and soap"
dw30-kcev-yefd,Shashemene,Bura,B/Sheshera,443361,798818,41.69095075,4.006722041,Primary(1-8),215,173,Basic,Protected well/spring,No,Basic,Pit latrines with slab,,No,Basic,No,Water only
7yp9-bj96-y5g2,Shashemene,T/Kombolcha,Tatesa,438089,801114,41.71145535,3.959012269,Primary(1-8),558,249,Limited,Rainwater,,Limited,Composting toilets,,,Limited,,Soap only
9jqg-cb7d-0yyy,Shashemene,M/Dema,M/Bolo,453402,797490,41.67929932,4.097500933,Primary(1-8),186,176,No Service,Unprotected well/spring,,No Service,Piet latrines without slab,,,No Service,,Neither water or soap
hvd1-btbb-9nfj,Shashemene,Toga,Toga,447582,792008,41.6297911,4.045068192,Primary(1-8),351,254,,Packaged bottled water,,,Hanging latrines,,,,,
wewa-b73m-g3pw,Shashemene,B/Deneba,B/Deneba,454305,804782,41.74495127,4.105437761,Primary(1-8),486,404,,Tanker-truck or cart,,,Bucket latrines,,,,,
vv42-6vt3-aq57,Shashemene,k/Birojota,k/Birojota,447584,792011,41.62981816,4.045086179,Primary(1-8),323,239,,"Surface water (lake, river, stream)",,,No toilets or latrines,,,,,
xg7c-ew1x-xnym,Shashemene,H/Shumba,H/Shumba,458842,803581,41.73428336,4.146473429,Primary(1-8),566,513,,No water source,,,,,,,,
nu93-wpt0-nbhv,Shashemene,Daleti,Daleti,442400,792217,41.63152167,3.998230977,Primary(1-8),422,311,,,,,,,,,,
gea4-xut3-kxkn,Shashemene,Ebicha,Ebicha,459011,790265,41.61444043,4.148407197,Primary(1-8),660,365,,,,,,,,,,
d4un-8ugw-x7bv,Shashemene,K/Rogicha,K/Rogicha,448360,804326,41.74066542,4.05173028,Primary(1-8),476,385,,,,,,,,,,
y8gr-svu0-ru96,Shashemene,Ch/Guta,Ch/Guta,450251,807081,41.76551489,4.068733245,Primary(1-8),348,264,,,,,,,,,,
0g6j-6kmd-16eb,Shashemene,H/Shumba,Aleche,454317,790914,41.62014276,4.105966614,Primary(1-4),220,222,,,,,,,,,,
uqcv-g0qd-k922,Shashemene,Ebicha,E/Katime,454334,790903,41.62004426,4.106120574,Primary(1-4),307,265,,,,,,,,,,
kn6u-9692-pce2,Shashemene,Abaro,Abaro,463333,787257,41.58749364,4.187556817,Primary(1-8),665,554,,,,,,,,,,
j94w-mshc-hbmk,Shashemene,M/Dema,Meja,453402,797489,41.67929032,4.097500963,Primary(1-8),984,849,,,,,,,,,,
3jv1-x8be-sns3,Shashemene,O/Chefo,U/keca,449620,799241,41.69494371,4.06327076,Primary(1-8),466,410,,,,,,,,,,
33n2-y6n7-4ayy,Shashemene,O/Chefo,Chefo,448625,797670,41.68077619,4.054326281,Primary(1-4),250,234,,,,,,,,,,
n2ja-7rrh-82y5,Shashemene,Ch/Guta,M/Bushe,450239,807101,41.76569449,4.068624191,Primary(1-4),122,112,,,,,,,,,,
exuv-r78x-849y,Shashemene,Ch/Hebera,Ch/Hebera,448033,808084,41.77447213,4.048659877,Primary(1-8),512,337,,,,,,,,,,
req3-n2kc-syyt,Shashemene,Ch/D/Nyata,Ch/Sheshera,448028,808094,41.77456196,4.048614387,Primary(1-8),202,169,,,,,,,,,,
