Woreda,Kebele,Village,Site Name,Lat,Lot,Estimated Number of Users,Water Source Type,Depth,Yield,Hand Pump Type,Type of Power,Reservoir Capacity m3,Number of Functional Taps,Number of Non Functional Taps,Functionality Status,Year Commisioned,Organisation the Installed Water Point
Shashemene,A/Shifa,Qali,Qali,7.2509374,38.6290754,312,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2009,CDA
Shashemene,A/Shifa,Ashifaa,A/shifaa,7.1629029,38.3250903,250,Protected Spring,,0.8,,,,,,Non Functional,2001,Government
Shashemene,A/Shifa,Ardano,Ardano,7.2128057,38.7257987,180,Hand dug Well fitted with pump or windlass,,0.28,Afridev,,,,,Functional,2000,LVIA
Shashemene,A/Shifa,A/shifaa,A/shifaa,7.4878283,38.7345846,250,Protected Spring,,0.5,,,,,,Non Functional,2000,Government
Shashemene,A/Shifa,A/shifaa,A/shifaa,7.1168816,38.7535854,250,Protected Spring,,0.5,,,,,,Functional,2004,Government
Shashemene,A/Shifa,aredano,Ardano,7.1226997,38.7243945,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Non Functional,2009,CDA
Shashemene,Abaaroo,Abaaro,Abaaro,7.3029752,38.6492265,340,Protected Spring,,0.5,,,,,,Functional,2003,Government
Shashemene,A/Shifa,shifa,shifa,7.1266251,38.7390722,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Non Functional,2009,CDA
Shashemene,Abaaroo,Burqaa,Burqaa,7.3017009,38.7298308,375,Protected Spring,,1,,,,,,Functional,2000,Kale Hiwot
Shashemene,Abaaroo,Wotera,Abaaro,7.1970977,38.7666034,420,Shallow  Well fitted with hand pump,46,0.8,Indian Mark II,,,,,Functional,2005,
Shashemene,Abaaroo,Burara,Burara,7.3033317,38.6312883,245,Protected Spring,,1,,,,,,Functional,2006,Government
Arsi Negele,Adaaba Xiixaa,Adaaba,Adaaba,7.134373,38.803395,1150,Deep Well with Distribution,185,8,Submersible,Electricity and Grid,10,0,1,,2003,Government
Arsi Negele,Adaaba Xiixaa,Qaloo,Qaloo,7.2460135,38.6144954,1300,Deep Well with Distribution,200,7,Submersible,Electricity and Grid,10,1,2,,2004,Religious Institution
Shashemene,Abaaroo,Wotera Goba,Abaaro,7.2009298,38.7433414,420,Shallow  Well fitted with hand pump,48,0.8,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Alii woyyoo,Alii  Woyyoo,Alii  Woyyoo,7.1057466,38.6549111,3200,Deep Well with Distribution,195,5.5,Submersible,Diesel,25,3,1,,1993,Government
Shashemene,Aleeluu iluu,Iluu,Aleelu,7.1372104,38.7115349,7500,Deep Well with Distribution,215,6,Submersible,Solar,100,,,,2007,NGO
Shashemene,Allache,Allache,Edola,8.0824002,38.7326583,5000,Deep Well with Distribution,120,,Submersible,Solar,,,,Non Functional,2005,NGO
Shashemene,Ardano Shifa,Ardano,Ardano,7.1113044,38.7444872,300,Hand dug Well fitted with pump or windlass,,0.11,Afridev,,,,,Functional,2005,
Arsi Negele,Alii woyyoo,maddani_____ìÌalam,Wayyoo maddani_____ìÌalam,7.1307027,38.6656422,3200,Deep Well with Distribution,180,7,Submersible,Electricity and Grid,50,3,0,,1982,Government
Shashemene,Awasho Danku,Awasho,Sole Mazoreya,7.1673303,38.7713101,11600,Deep Well with Distribution,157,5,Submersible,Solar,50,,,Non Functional,2004,NGO
Shashemene,Abaaroo,Sifo,Sifo,7.1372104,38.7115349,190,Protected Spring,,0.5,,,,,,Non Functional,2001,Government
Shashemene,Abaaroo,Shafina,Abaaro,3.474436,40.8979927,420,Shallow  Well fitted with hand pump,42,0.8,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Shashemene,Abaaroo,Woshena,Woshena,3.4745902,40.8932689,380,Protected Spring,,1.5,,,,,,Functional,2006,Government
Arsi Negele,Basaquu,Basaquu,Hexoo goduu,7.1200314,38.6823763,2250,Hand dug Well fitted with pump or windlass,60,1.5,Afridev,,,,,Functional,2007,Government
Arsi Negele,Basaquu ilaalaa,Basaquu,Basaquu,7.1747352,38.8503753,4350,Deep Well with Distribution,190,6,Submersible,Solar,25,4,0,,1993,Government
Shashemene,Chabe dedagnata,chabe,"chabe,duba and Alem gebeya",7.1372104,38.7115349,12000,Deep Well with Distribution,,,Submersible,Solar,,,,Non Functional,2005,NGO
Shashemene,Buta fillichaa,Meleka Oda,Fillicha,7.3411204,38.6726721,3500,Deep Well with Distribution,180,4,Submersible,Solar,20,,,Non Functional,1986,Kale Hiwot
Arsi Negele,Daanshee,Daanshee,Daanshee,7.1966742,38.6314293,4300,Deep Well with Distribution,,5.5,Submersible,Diesel,50,3,1,,2004,Government
Arsi Negele,Daanshee,Daanshee,Daanshee,7.3206445,38.6532263,75,Hand dug Well fitted with pump or windlass,,0.2,Indian Mark II,,,,,Non Functional,2003,Government
Shashemene,Danisa,Caraqo,Caraqo,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.5,Afridev,,,,,Functional,2007,LVIA
Shashemene,Danisa,Gutu,Gutu,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.11,Indian Mark II,,,,,Non Functional,2004,LVIA
Shashemene,Danisa,Sotira,Sotira,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.5,Afridev,,,,,Functional,2008,LVIA
Shashemene,Danisa,Firey,Firey,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.1,Afridev,,,,,Non Functional,2000,LVIA
Shashemene,Ebichaa,Jemate,Edola,7.1236977,38.6734083,5000,Deep Well with Distribution,200,4.6,Submersible,Solar,50,,,Non Functional,2002,Government
Shashemene,Edola burka,Qeresa,Bureka,7.1372104,38.7115349,5000,Deep Well with Distribution,206,4.5,Submersible,Solar,50,,,Functional,2003,NGO
Shashemene,Faji solee,Abita Wotara,Abita Wotara,7.1277912,38.7075018,1064,Hand dug Well fitted with pump or windlass,,0.28,Afridev,,,,,,,LVIA
Shashemene,Faji solee,Faji 1,Faji 1,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,42,0.8,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Shashemene,Faji solee,Faji 3,Faji 3,7.1969982,38.7665038,420,Shallow  Well fitted with hand pump,52,0.8,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Shashemene,Faji solee,Faji 2,Faji 2,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,46,0.8,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Shashemene,G/Qarso,Qerso,Qerso,7.1583663,38.3341985,10000,Deep Well with Distribution,170,6,Submersible,Solar,75,,,,2007,Government
Shashemene,G/Qarso,Serdo Gamle,Serdo Gamle,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.1,Afridev,,,,,Non Functional,2000,LVIA
Shashemene,G/Qarso,Hiro Burqitu,Hiro Burqitu,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,4,Afridev,,,,,Functional,2001,LVIA
Shashemene,G/Qarso,Molale Mosque,Molale Mosque,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,3,Afridev,,,,,Functional,2001,LVIA
Shashemene,G/Qarso,Molale Doka,Molale Doka,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.3,Afridev,,,,,Functional,2002,LVIA
Shashemene,G/Qarso,Walashe,Walashe,7.1372104,38.7115349,420,Hand dug Well fitted with pump or windlass,,0.5,Afridev,,,,,Functional,2003,LVIA
Shashemene,G/Qarso,qareso 1,qerso 1,7.3508363,38.7135555,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,qareso 2,qerso 2,7.115784,38.731734,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,qareso 3,qerso 3,7.1968077,38.7655166,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,qareso 4,qerso 4,7.4986082,38.730427,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,Gonda 2,Gonda 2,7.1931245,43.2507825,180,Hand dug Well fitted with pump or windlass,,0.4,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,Gonda 1,Gonda 1,7.1970435,38.7666487,180,Hand dug Well fitted with pump or windlass,,0.4,Afridev,,,,,Functional,2009,CDA
Shashemene,G/Qarso,Gonda 4,Gonda 4,7.4249704,38.6933355,180,Hand dug Well fitted with pump or windlass,,0.4,,,,,,Functional,2009,CDA
Shashemene,G/Qarso,Gonda 3,Gonda 3,3.4727383,40.8652264,180,Hand dug Well fitted with pump or windlass,,0.4,Afridev,,,,,Functional,2009,CDA
Arsi Negele,Godee,Godee,Waraabettii,7.3423483,38.8099553,2208,Hand dug Well fitted with pump or windlass,,1.7,Afridev,,,,,Functional,2006,Government
Arsi Negele,Cirri,Cirri,Cirri,7.1777131,38.4885162,75,Hand dug Well fitted with pump or windlass,,0.75,Indian Mark II,,,,,Functional,1999,Government
Shashemene,Faji solee,Caqule,Caqule,7.1157866,38.7363525,180,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Non Functional,1999,
Shashemene,Faji solee,F/solee,F/solee,7.4819995,38.6879485,250,Protected Spring,,0.8,,,,,,Functional,2005,Government
Arsi Negele,Godee,Godee,Boddittii,7.1488942,38.8329406,450,Hand dug Well fitted with pump or windlass,,0.4,Afridev,,,,,Functional,2004,Government
Arsi Negele,Godee,Godee,Sootiraa,7.1541809,38.6848433,450,Hand dug Well fitted with pump or windlass,,0.3,Afridev,,,,,Functional,2004,Government
Arsi Negele,Godee,Godee,Waacoree  1ffaa,3.474753,40.8660852,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Non Functional,2003,Government
Arsi Negele,Godee,Godee,Waacoree 2ffaa,3.4751582,40.8850636,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Non Functional,2003,Government
Arsi Negele,Godee,Godee,Malkaa Amboo,7.1747924,38.788696,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2006,Government
Arsi Negele,Godee,Godee,Borshee,7.3259343,38.8730393,450,Hand dug Well fitted with pump or windlass,,0.5,Afridev,,,,,Functional,2004,Government
Arsi Negele,Godee,Godee,Hoofii Harootaa,7.1453298,38.8924165,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2006,Government
Arsi Negele,Godee,Godee,Boora_____ìÌaa,7.1372104,38.7115349,2208,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2006,Government
Arsi Negele,Godee,Godee,Siree cophaa,7.1541809,38.6848433,450,Hand dug Well fitted with pump or windlass,,0.25,Afridev,,,,,Non Functional,2003,Government
Arsi Negele,Godee,Godee,Godee Sheedamaa,7.1363009,38.8290237,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2006,Government
Arsi Negele,Godee,Godee,Aloo mataa Arbaa,7.1346697,38.713393,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2003,Government
Arsi Negele,Godee,Godee,Faallittii,7.1503948,38.830214,450,Hand dug Well fitted with pump or windlass,,0.25,Afridev,,,,,Functional,2008,Government
Arsi Negele,Godee,Godee,Copha,7.1695514,38.8011609,450,Hand dug Well fitted with pump or windlass,,0.9,Afridev,,,,,Functional,2008,Government
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Gorbii Arbii,Malkaa Buttaa,Malkaa Buttaa,7.1245458,38.6832335,5500,Deep Well with Distribution,155,7,Submersible,Electricity and Grid,50,7,0,,1993,Government
Arsi Negele,Gorbii Dareeraa,Dareeraa,Dareeraa,7.1223242,38.7652739,1150,Deep Well with Distribution,175,4,Submersible,Electricity and Grid,10,0,1,,1993,Religious Institution
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1548453,38.8300584,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1813097,38.7785942,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1974998,38.8390911,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Godee,Godee,Hawuloo corooraa,7.2018461,38.8035834,450,Hand dug Well fitted with pump or windlass,,0.2,Afridev,,,,,Functional,2004,Government
Shashemene,H /sinboo,sinbo,sinbo,7.1289847,38.6544138,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Godee,Godee,Buqqee bodittii,7.1954203,38.7961771,2208,Hand dug Well fitted with pump or windlass,,1.5,Afridev,,,,,Functional,2006,Government
Shashemene,H /sinboo,sinbo,sinbo,7.1457149,38.6484602,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Godee,Godee,ashuu,7.2685442,38.7088157,450,Hand dug Well fitted with pump or windlass,,0.25,Afridev,,,,,Functional,2008,Government
Shashemene,H /sinboo,sinbo,sinbo,7.2001482,38.7072473,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1372104,38.7115349,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.169479,38.8010613,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1594527,38.8665286,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1503948,38.830214,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1567123,38.8682774,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1697918,38.8136867,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.0928242,38.7141887,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1567039,38.8418315,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.2351605,38.5211061,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,3.4745408,38.7047958,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1168816,38.7535854,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1068348,38.7426333,420,Shallow  Well fitted with hand pump,48,1.5,Indian Mark II,,,,,Non Functional,2005,Kale Hiwot
Shashemene,H /sinboo,sinbo,sinbo,7.1353747,38.7125956,420,Shallow  Well fitted with hand pump,42,1.2,Indian Mark II,,,,,Functional,2005,Kale Hiwot
Shashemene,H /sinboo,Sarbisi,Sarbisi,7.1372104,38.7115349,180,Hand dug Well fitted with pump or windlass,,0.12,Afridev,,,,,Functional,2008,Government
Shashemene,H /sinboo,sinbo,sinbo,7.1268165,38.7260765,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
Arsi Negele,Godee,Godee,Burqaa Bonkorree,3.4737738,40.9035163,450,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Non Functional,2003,Government
